Week,Semana_Num,Weekly_Total,Cumulative_Grand_Total,Total_Coverage,12M_Coverage,18M_Coverage,6A_Coverage,Adult_Coverage,12 Meses,18 Meses,6 Años,10-12 a,13-19 a,20-39 a,40-49 a
SE43,43,4473.0,106983.0,103.88514497679206,4424.448897795591,3085.370741482966,4555.714285714285,10475.47619047619,180.0,200.0,408.0,1079.0,1325.0,0.0,1281.0
SE44,44,0.0,106983.0,103.88514497679206,4424.448897795591,3085.370741482966,4555.714285714285,10475.47619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE45,45,0.0,106983.0,103.88514497679206,4424.448897795591,3085.370741482966,4555.714285714285,10475.47619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE46,46,0.0,106983.0,103.88514497679206,4424.448897795591,3085.370741482966,4555.714285714285,10475.47619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE47,47,0.0,106983.0,103.88514497679206,4424.448897795591,3085.370741482966,4555.714285714285,10475.47619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE48,48,0.0,106983.0,103.88514497679206,4424.448897795591,3085.370741482966,4555.714285714285,10475.47619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE49,49,0.0,106983.0,103.88514497679206,4424.448897795591,3085.370741482966,4555.714285714285,10475.47619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE50,50,0.0,106983.0,103.88514497679206,4424.448897795591,3085.370741482966,4555.714285714285,10475.47619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE51,51,0.0,106983.0,103.88514497679206,4424.448897795591,3085.370741482966,4555.714285714285,10475.47619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE52,52,0.0,106983.0,103.88514497679206,4424.448897795591,3085.370741482966,4555.714285714285,10475.47619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE53,53,0.0,106983.0,103.88514497679206,4424.448897795591,3085.370741482966,4555.714285714285,10475.47619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
